first_view_confidence,asset,weight
0.25000000,US_Equity,0.55780768
0.25000000,Intl_Equity,0.16219185
0.25000000,Aggregate_Bonds,0.18800783
0.25000000,Gold,0.09199264
0.50000000,US_Equity,0.63568473
0.50000000,Intl_Equity,0.08431393
0.50000000,Aggregate_Bonds,0.18611416
0.50000000,Gold,0.09388718
0.75000000,US_Equity,0.71363331
0.75000000,Intl_Equity,0.00636675
0.75000000,Aggregate_Bonds,0.18421787
0.75000000,Gold,0.09578206
0.95000000,US_Equity,0.72747993
0.95000000,Intl_Equity,0.00000000
0.95000000,Aggregate_Bonds,0.17932997
0.95000000,Gold,0.09319010
