check,value,limit,passed
budget_error,0.00000000,0.00000100,True
minimum_weight_violation,0.00000000,0.00000100,True
maximum_weight_violation,0.00000000,0.00000100,True
two_sided_turnover,0.25000000,0.25000100,True
sector_active::CommunicationServices,0.01719074,0.04000100,True
sector_active::ConsumerDiscretionary,0.01274396,0.04000100,True
sector_active::Energy,0.02652257,0.04000100,True
sector_active::Financials,0.00341213,0.04000100,True
sector_active::HealthCare,0.04000000,0.04000100,True
sector_active::Technology,0.04000000,0.04000100,True
style_active::beta,0.03227814,0.05000100,True
style_active::size,0.04012776,0.10000100,True
style_active::value,0.07685693,0.10000100,True
style_active::momentum,0.10743646,0.25000100,True
style_active::quality,0.00583798,0.12000100,True
