ticker,sector,alpha_annual,benchmark_weight,current_weight,optimized_weight,trade,active_weight
AAPL,Technology,0.01800000,0.12000000,0.11000000,0.11000000,0.00000000,-0.01000000
MSFT,Technology,0.02400000,0.12000000,0.11000000,0.15612364,0.04612364,0.03612364
NVDA,Technology,0.03200000,0.09000000,0.10000000,0.10387636,0.00387636,0.01387636
JPM,Financials,0.01000000,0.08000000,0.09000000,0.07941165,-0.01058835,-0.00058835
GS,Financials,0.01400000,0.05000000,0.04000000,0.04717621,0.00717621,-0.00282379
JNJ,HealthCare,-0.00400000,0.08000000,0.09000000,0.00211092,-0.08788908,-0.07788908
LLY,HealthCare,0.02700000,0.07000000,0.06000000,0.10788908,0.04788908,0.03788908
XOM,Energy,0.00600000,0.08000000,0.07000000,0.07000000,0.00000000,-0.01000000
CVX,Energy,0.00400000,0.05000000,0.06000000,0.03347743,-0.02652257,-0.01652257
AMZN,ConsumerDiscretionary,0.02100000,0.10000000,0.11000000,0.11274396,0.00274396,0.01274396
GOOGL,CommunicationServices,0.01600000,0.09000000,0.08000000,0.09651529,0.01651529,0.00651529
META,CommunicationServices,0.01900000,0.07000000,0.08000000,0.08067545,0.00067545,0.01067545
